"t" "B_HF_Mean" "B_HF_sd" "B_HM_Mean" "B_HM_sd" "B_MSM_Mean" "B_MSM_sd" "HF_Mean" "HF_sd" "HM_Mean" "HM_sd" "MSM_Mean" "MSM_sd" "Total_Mean" "Total_sd" "W_HF_Mean" "W_HF_sd" "W_HM_Mean" "W_HM_sd" "W_MSM_Mean" "W_MSM_sd"
"69" 68 0 0 0 0 0 0 5.23076923076923 2.91626737193547 5.03846153846154 3.54943115702524 0 0 10.2692307692308 5.44468689500281 5.23076923076923 2.91626737193547 5.03846153846154 3.54943115702524 0 0
"70" 69 0 0 0 0 0 0 6.23076923076923 3.63656642791183 5 2.85657137141714 0 0 11.2307692307692 5.71529661387888 6.23076923076923 3.63656642791183 5 2.85657137141714 0 0
"71" 70 0 0 0 0 0 0 4.38461538461539 2.8716117157711 4.92307692307692 3.04529902535796 0 0 9.30769230769231 4.78137411854986 4.38461538461539 2.8716117157711 4.92307692307692 3.04529902535796 0 0
"72" 71 0 0 0 0 0 0 4.88461538461539 2.97088435422078 5.61538461538461 4.18642494810953 0 0 10.5 5.81205643468816 4.88461538461539 2.97088435422078 5.61538461538461 4.18642494810953 0 0
"73" 72 0 0 0 0 0 0 5.92307692307692 3.38139707130738 4.65384615384615 2.77044845023051 0 0 10.5769230769231 5.06890975988389 5.92307692307692 3.38139707130738 4.65384615384615 2.77044845023051 0 0
"74" 73 0 0 0 0 0 0 5 3.41760149812701 4.30769230769231 2.34553585807987 0 0 9.30769230769231 4.89709490019731 5 3.41760149812701 4.30769230769231 2.34553585807987 0 0
"75" 74 0 0 0 0 0 0 4.30769230769231 2.64981857143814 4.76923076923077 3.37410956914789 0 0 9.07692307692308 5.37343895041585 4.30769230769231 2.64981857143814 4.76923076923077 3.37410956914789 0 0
"76" 75 0 0 0 0 0 0 4.42307692307692 2.64080407335458 4.61538461538461 3.27508073887558 0 0 9.03846153846154 5.34026792759142 4.42307692307692 2.64080407335458 4.61538461538461 3.27508073887558 0 0
"77" 76 0 0 0 0 0 0 4.61538461538461 2.8716117157711 3.96153846153846 2.66053782879732 0 0 8.57692307692308 4.22538118444314 4.61538461538461 2.8716117157711 3.96153846153846 2.66053782879732 0 0
"78" 77 0 0 0 0 0 0 4.46153846153846 3.11423530557046 5.15384615384615 3.14569302624789 0 0 9.61538461538461 5.06025235004677 4.46153846153846 3.11423530557046 5.15384615384615 3.14569302624789 0 0
"79" 78 0 0 0 0 0 0 5.26923076923077 3.37707201353708 4.38461538461539 2.36773179354289 0 0 9.65384615384615 4.8985084071975 5.26923076923077 3.37707201353708 4.38461538461539 2.36773179354289 0 0
"80" 79 0 0 0 0 0 0 4.42307692307692 3.08769269096621 4.26923076923077 2.47479602889115 0 0 8.69230769230769 4.40698745874531 4.42307692307692 3.08769269096621 4.26923076923077 2.47479602889115 0 0
"81" 80 0 0 0 0 0 0 4.38461538461539 2.41788209930796 4.23076923076923 2.61239648304299 0 0 8.61538461538461 3.53357522152194 4.38461538461539 2.41788209930796 4.23076923076923 2.61239648304299 0 0
"82" 81 0 0 0 0 0 0 4.65384615384615 2.91125138306272 4.11538461538461 2.51915736827889 0 0 8.76923076923077 4.50162363871252 4.65384615384615 2.91125138306272 4.11538461538461 2.51915736827889 0 0
"83" 82 0 0 0 0 0 0 4.57692307692308 2.94174202707276 4.53846153846154 1.98455575342734 0 0 9.11538461538461 3.90207045632877 4.57692307692308 2.94174202707276 4.53846153846154 1.98455575342734 0 0
"84" 83 0 0 0 0 0 0 3.96153846153846 2.06844423141199 3.46153846153846 1.55514035973012 0 0 7.42307692307692 2.83087374389007 3.96153846153846 2.06844423141199 3.46153846153846 1.55514035973012 0 0
"85" 84 0 0 0 0 0 0 4.46153846153846 2.77461015972723 3.92307692307692 2.46451742818876 0 0 8.38461538461539 4.08976207696167 4.46153846153846 2.77461015972723 3.92307692307692 2.46451742818876 0 0
"86" 85 0 0 0 0 0 0 4.46153846153846 2.99640810612666 2.73076923076923 1.88801890472934 0 0 7.19230769230769 3.92957230007777 4.46153846153846 2.99640810612666 2.73076923076923 1.88801890472934 0 0
"87" 86 0 0 0 0 0 0 4.5 2.42074368738204 3.73076923076923 2.05051588255624 0 0 8.23076923076923 3.6255503560998 4.5 2.42074368738204 3.73076923076923 2.05051588255624 0 0
"88" 87 0 0 0 0 0 0 3.88461538461538 2.10384263816328 3.34615384615385 2.91125138306272 0 0 7.23076923076923 4.14060567847451 3.88461538461538 2.10384263816328 3.34615384615385 2.91125138306272 0 0
"89" 88 0 0 0 0 0 0 4.26923076923077 2.61622158553426 4.03846153846154 2.67553014157223 0 0 8.30769230769231 4.03751637291274 4.26923076923077 2.61622158553426 4.03846153846154 2.67553014157223 0 0
"90" 89 0 0 0 0 0 0 4.53846153846154 2.15834694580402 4.5 2.73130005674953 0 0 9.03846153846154 4.19981684582334 4.53846153846154 2.15834694580402 4.5 2.73130005674953 0 0
"91" 90 0 0 0 0 0 0 3.76923076923077 2.79009236130551 3.07692307692308 1.74179394701157 0 0 6.84615384615385 3.90581420645998 3.76923076923077 2.79009236130551 3.07692307692308 1.74179394701157 0 0
"92" 91 0 0 0 0 0 0 4 2.31516738055805 3.88461538461538 2.95738970143501 0 0 7.88461538461539 3.79817770070778 4 2.31516738055805 3.88461538461538 2.95738970143501 0 0
"93" 92 0 0 0 0 0 0 3.96153846153846 2.32345895992624 3.53846153846154 2.4856511296764 0 0 7.5 3.7868192457523 3.96153846153846 2.32345895992624 3.53846153846154 2.4856511296764 0 0
"94" 93 0 0 0 0 0 0 3.42307692307692 2.50076911246243 3.38461538461538 2.53103809654336 0 0 6.80769230769231 4.57837727383169 3.42307692307692 2.50076911246243 3.38461538461538 2.53103809654336 0 0
"95" 94 0 0 0 0 0 0 3.84615384615385 3.15838322807487 3.11538461538462 2.3719514847808 0 0 6.96153846153846 4.66030702190977 3.84615384615385 3.15838322807487 3.11538461538462 2.3719514847808 0 0
"96" 95 0 0 0 0 0 0 3.68 2.51197133741609 2.92 2.27156333832011 0 0 6.6 4.33012701892219 3.68 2.51197133741609 2.92 2.27156333832011 0 0
"97" 96 0 0 0 0 0 0 2.6 2.16024689946929 3.12 2.43789526709687 0 0 5.72 3.87857362097632 2.6 2.16024689946929 3.12 2.43789526709687 0 0
"98" 97 0 0 0 0 0 0 4.04 2.35372045918796 3.68 3.28785644455472 0 0 7.72 4.58730131268193 4.04 2.35372045918796 3.68 3.28785644455472 0 0
"99" 98 0 0 0 0 0 0 3.36 2.65957390070916 3.44 2.6153393661244 0 0 6.8 4.20317340430616 3.36 2.65957390070916 3.44 2.6153393661244 0 0
"100" 99 0 0 0 0 0 0 2.76 1.98494332412792 3.04 2.73068977854803 0 0 5.8 4 2.76 1.98494332412792 3.04 2.73068977854803 0 0
"101" 100 0 0 0 0 0 0 3.16 2.0952326839757 2.96 2.09125161884775 0 0 6.12 3.75632799419859 3.16 2.0952326839757 2.96 2.09125161884775 0 0
"102" 101 0 0 0 0 0 0 3.2 2.38047614284762 3 2.62995563967658 0 0 6.2 4.52769256906871 3.2 2.38047614284762 3 2.62995563967658 0 0
"103" 102 0 0 0 0 0 0 3.6 2.66145323711189 2.8 2.44948974278318 0 0 6.4 4.61880215351701 3.6 2.66145323711189 2.8 2.44948974278318 0 0
"104" 103 0 0 0 0 0 0 2.8 2.29128784747792 2.32 2.26789182575654 0 0 5.12 3.68917334913934 2.8 2.29128784747792 2.32 2.26789182575654 0 0
"105" 104 0 0 0 0 0 0 2.4 1.60727512683216 2.68 2.28619042659763 0 0 5.08 3.58143360495021 2.4 1.60727512683216 2.68 2.28619042659763 0 0
"106" 105 0 0 0 0 0 0 3.24 2.87634026730728 2.76 2.91947483861967 0 0 6 5.15590276608601 3.24 2.87634026730728 2.76 2.91947483861967 0 0
