seed	t	Total	W_HM	B_HM	HM	W_HF	B_HF	HF	W_MSM	B_MSM	MSM
137780	47	20	10	0	10	10	0	10	0	0	0
137780	48	13	9	0	9	4	0	4	0	0	0
137780	49	15	7	0	7	8	0	8	0	0	0
137780	50	13	5	0	5	8	0	8	0	0	0
137780	51	8	2	0	2	6	0	6	0	0	0
137780	52	12	5	0	5	7	0	7	0	0	0
137780	53	8	4	0	4	4	0	4	0	0	0
137780	54	16	6	0	6	10	0	10	0	0	0
137780	55	12	6	0	6	6	0	6	0	0	0
137780	56	6	3	0	3	3	0	3	0	0	0
137780	57	8	4	0	4	4	0	4	0	0	0
137780	58	7	3	0	3	4	0	4	0	0	0
137780	59	10	4	0	4	6	0	6	0	0	0
137780	60	11	4	0	4	7	0	7	0	0	0
137780	61	9	8	0	8	1	0	1	0	0	0
137780	62	13	7	0	7	6	0	6	0	0	0
137780	63	17	8	0	8	9	0	9	0	0	0
137780	64	14	5	0	5	9	0	9	0	0	0
137780	65	9	3	0	3	6	0	6	0	0	0
137780	66	7	3	0	3	4	0	4	0	0	0
137780	67	7	4	0	4	3	0	3	0	0	0
137780	68	6	2	0	2	4	0	4	0	0	0
137780	69	13	6	0	6	7	0	7	0	0	0
137780	70	7	1	0	1	6	0	6	0	0	0
137780	71	11	8	0	8	3	0	3	0	0	0
137780	72	8	4	0	4	4	0	4	0	0	0
137780	73	9	4	0	4	5	0	5	0	0	0
137780	74	7	4	0	4	3	0	3	0	0	0
137780	75	9	4	0	4	5	0	5	0	0	0
137780	76	10	8	0	8	2	0	2	0	0	0
137780	77	13	9	0	9	4	0	4	0	0	0
137780	78	8	5	0	5	3	0	3	0	0	0
137780	79	6	4	0	4	2	0	2	0	0	0
137780	80	9	6	0	6	3	0	3	0	0	0
137780	81	9	5	0	5	4	0	4	0	0	0
137780	82	7	6	0	6	1	0	1	0	0	0
137780	83	5	3	0	3	2	0	2	0	0	0
137780	84	1	1	0	1	0	0	0	0	0	0
137780	85	2	1	0	1	1	0	1	0	0	0
137780	86	10	2	0	2	8	0	8	0	0	0
137780	87	5	2	0	2	3	0	3	0	0	0
137780	88	10	8	0	8	2	0	2	0	0	0
137780	89	3	1	0	1	2	0	2	0	0	0
137780	90	3	3	0	3	0	0	0	0	0	0
137780	91	3	3	0	3	0	0	0	0	0	0
137780	92	5	2	0	2	3	0	3	0	0	0
137780	93	4	1	0	1	3	0	3	0	0	0
137780	94	5	3	0	3	2	0	2	0	0	0
137780	95	1	0	0	0	1	0	1	0	0	0
137780	96	3	2	0	2	1	0	1	0	0	0
137780	97	4	0	0	0	4	0	4	0	0	0
137780	98	3	1	0	1	2	0	2	0	0	0
137780	99	0	0	0	0	0	0	0	0	0	0
137780	100	1	0	0	0	1	0	1	0	0	0
137780	101	3	1	0	1	2	0	2	0	0	0
137780	102	2	1	0	1	1	0	1	0	0	0
137780	103	3	0	0	0	3	0	3	0	0	0
137780	104	2	1	0	1	1	0	1	0	0	0
137780	105	1	0	0	0	1	0	1	0	0	0
137780	106	3	2	0	2	1	0	1	0	0	0
137780	107	2	1	0	1	1	0	1	0	0	0
137780	108	5	0	0	0	5	0	5	0	0	0
137780	109	2	1	0	1	1	0	1	0	0	0
137780	110	1	0	0	0	1	0	1	0	0	0
137780	111	4	0	0	0	4	0	4	0	0	0
137780	112	2	1	0	1	1	0	1	0	0	0
137780	113	1	1	0	1	0	0	0	0	0	0
137780	114	2	1	0	1	1	0	1	0	0	0
137780	115	0	0	0	0	0	0	0	0	0	0
137780	116	3	1	0	1	2	0	2	0	0	0
137780	117	2	1	0	1	1	0	1	0	0	0
137780	118	1	0	0	0	1	0	1	0	0	0
137780	119	4	2	0	2	2	0	2	0	0	0
